jenis_kelamin,tgl_lahir,no_telp,alamat
P,16/8/1950,509-(255)453-6247,35745 4th Court
P,27/7/1947,63-(138)334-3087,87 Evergreen Avenue
P,24/1/1958,7-(175)660-9653,39 Prentice Place
L,2/10/1940,255-(131)506-8506,1359 Springview Terrace
L,22/5/1937,57-(542)232-6439,1 Sullivan Road
P,22/2/1968,502-(873)671-2390,524 Mayer Hill
P,15/2/1969,7-(375)103-5890,770 Canary Hill
L,18/3/1978,232-(712)553-2229,76796 Trailsway Court
P,1/9/1975,81-(138)352-1461,76 Porter Trail
P,7/5/1925,54-(819)741-0557,28 Elka Center
P,11/8/1986,46-(124)816-5967,8 Service Street
P,20/10/1982,84-(796)282-7406,109 Anzinger Terrace
L,1/11/1998,7-(763)962-4073,42938 Golf Course Park
P,19/8/1963,7-(290)644-4120,9 Lillian Alley
L,28/1/1972,84-(471)142-8761,25 Bowman Lane
P,29/6/1966,358-(243)506-4124,141 Tony Court
P,10/3/1928,970-(183)773-4089,364 Jenna Plaza
P,1/4/1942,62-(226)405-1142,2 Caliangt Park
L,26/8/1998,86-(740)990-2779,2175 Northfield Trail
P,7/6/1980,235-(647)920-0815,3046 Rigney Place
L,17/4/1951,1-(282)926-3404,8 Claremont Park
L,17/7/1926,81-(479)782-4410,27893 Namekagon Center
L,17/9/1962,7-(214)758-2988,899 Holy Cross Park
L,14/6/1946,48-(201)163-9055,3 Sullivan Parkway
P,1/4/1991,351-(739)581-7156,08101 Barby Way
P,6/10/1969,593-(363)652-3943,91 Everett Junction
L,6/6/1951,86-(985)255-9697,3712 Randy Circle
L,10/2/1935,63-(139)932-6956,0242 South Street
P,30/7/1982,62-(741)128-1510,36126 Muir Place
P,16/3/1926,994-(610)851-4643,6841 Monterey Hill
L,25/3/1926,47-(518)786-6304,6975 Eagle Crest Junction
L,4/6/1982,420-(555)339-5026,30228 Clyde Gallagher Plaza
P,23/7/1951,66-(158)896-2145,7 Boyd Center
L,28/5/1995,58-(839)666-5224,3 Nova Place
L,19/6/1993,380-(794)951-5650,5426 Mifflin Pass
L,23/3/1933,66-(871)497-2686,6530 Bluejay Pass
L,4/1/1993,52-(129)182-8652,4226 Mccormick Alley
P,27/3/1940,30-(388)498-8956,47773 Caliangt Avenue
L,12/7/1984,48-(947)838-7835,643 Monterey Avenue
P,9/7/1951,7-(563)854-2017,10 Gateway Crossing
L,19/11/1958,7-(229)120-9659,47 New Castle Point
P,30/1/1957,86-(897)327-2324,513 Kennedy Plaza
P,27/12/1974,33-(980)336-5859,9718 Scofield Avenue
P,3/8/1955,86-(837)176-8435,1 John Wall Place
P,21/4/1952,62-(127)704-3011,13658 Redwing Hill
P,3/4/1929,675-(779)927-6396,71353 Pine View Pass
P,28/9/1972,1-(933)285-3384,92064 Kings Park
P,17/5/1978,81-(228)941-1483,8351 Blue Bill Park Trail
P,27/11/1953,86-(269)966-3025,3 Charing Cross Plaza
L,20/12/1963,371-(478)820-6227,32374 Charing Cross Point
P,30/11/1962,62-(152)537-8988,88067 Farwell Way
P,16/11/1963,86-(639)750-4931,42 Bashford Center
L,7/3/1929,1-(516)851-9320,200 Ruskin Junction
P,20/1/1925,86-(918)519-8591,477 Coolidge Alley
L,6/8/1959,7-(521)312-0844,34 Carioca Plaza
P,23/4/1981,850-(595)205-9808,5 Eastlawn Hill
L,13/12/1937,86-(958)475-4618,77678 Chive Alley
P,11/9/1970,62-(384)204-5502,71 Nelson Park
P,6/8/1957,55-(607)406-3972,0855 Bonner Point
P,11/10/1956,7-(553)919-5775,5 Service Pass
P,4/1/1969,62-(262)395-2278,328 Saint Paul Point
P,23/11/1948,30-(106)431-1548,4 Hallows Hill
P,13/2/1967,967-(635)421-5555,4 Kipling Avenue
L,25/6/1989,7-(442)860-6104,23 Transport Plaza
L,24/11/1983,48-(864)293-2244,27925 Lyons Place
P,10/8/1923,86-(237)617-2306,5754 Summit Crossing
L,18/10/1924,86-(963)315-9195,78 Springs Plaza
P,18/3/1984,81-(395)487-3941,236 Graceland Hill
P,5/6/1945,62-(308)798-6202,3 Tennessee Hill
L,11/7/1967,351-(316)475-0782,1802 Riverside Way
L,22/8/1942,1-(648)181-5064,1273 Autumn Leaf Trail
P,19/3/1978,1-(210)825-3228,03279 Carey Lane
L,28/5/1992,967-(384)358-2011,3862 Dottie Circle
L,22/5/1973,375-(921)700-1304,709 Lyons Road
L,16/11/1922,7-(743)990-6357,7322 Johnson Terrace
P,2/5/1990,62-(503)526-5530,05 Loomis Avenue
P,6/11/1975,7-(619)113-2301,674 Northridge Road
P,27/6/1991,86-(980)495-3982,7131 Shoshone Crossing
L,1/10/1999,62-(661)108-6240,51 International Place
L,3/7/1921,95-(209)885-2297,976 Old Shore Trail
P,21/10/1952,62-(519)795-3919,2 Fremont Avenue
P,3/4/1989,385-(911)602-0698,9 Hollow Ridge Place
P,3/12/1992,86-(327)805-3573,808 Hoffman Lane
L,17/5/1987,55-(928)321-4298,455 Westridge Place
L,4/5/1996,48-(648)272-1153,9855 Rusk Street
P,28/3/1923,374-(771)842-3164,37037 Oneill Place
P,21/4/1990,86-(548)649-4618,3 Maryland Court
P,21/12/1979,63-(472)581-2014,4410 Westend Circle
P,17/6/1928,62-(872)677-7374,6825 Maple Wood Point
P,5/5/1952,7-(438)875-1466,49356 Dexter Alley
L,12/9/1994,62-(403)222-5428,67 Veith Pass
L,29/11/1949,375-(921)311-2104,46738 Northridge Terrace
L,15/9/1939,62-(846)772-2483,630 6th Circle
P,8/10/1996,55-(736)847-9459,817 Eggendart Street
L,5/8/1993,86-(909)261-2565,622 Ludington Park
P,28/1/1938,62-(196)223-4580,9 Mayfield Crossing
L,8/12/1999,387-(309)156-6035,252 Karstens Parkway
P,15/12/1988,63-(445)781-3998,8 Graceland Road
P,24/11/1991,970-(997)462-1303,96 Little Fleur Junction
L,25/1/1943,86-(831)253-2128,578 Laurel Court
L,31/3/1938,7-(618)855-2523,663 Superior Point
L,13/8/1939,63-(630)501-4851,15863 Buell Lane
P,31/12/1954,1-(256)493-7434,5170 Hollow Ridge Terrace
P,25/7/1984,46-(206)883-4537,112 Anderson Lane
P,9/9/1952,46-(444)987-0358,03 Shelley Street
P,9/6/1935,33-(403)544-3867,9682 Granby Pass
L,25/12/1937,62-(511)814-9453,5 Forster Road
P,8/12/1968,20-(928)806-4714,6011 Golden Leaf Crossing
L,10/3/1984,55-(969)223-0679,043 Shelley Drive
L,30/10/1933,63-(273)171-3057,18 Farwell Trail
L,9/8/1956,30-(942)542-9441,50 Northport Alley
P,29/3/1988,420-(799)734-1494,2 Pearson Terrace
L,3/12/1985,63-(858)210-1364,007 Shopko Parkway
P,29/10/1939,380-(452)935-2743,61 Sunfield Alley
P,14/9/1976,33-(964)584-0595,9 Hollow Ridge Circle
L,23/3/1949,52-(405)916-1977,0637 Warrior Road
L,11/9/1935,86-(908)373-4941,03858 Pine View Parkway
L,12/12/1989,351-(422)781-7630,5 Charing Cross Way
P,6/5/1969,33-(782)330-2748,85146 Cambridge Crossing
P,23/7/1953,7-(873)424-7895,82 Buell Parkway
P,20/10/1963,47-(522)548-1298,4661 Artisan Way
P,19/10/1948,998-(698)638-7946,725 Eastwood Drive
L,2/4/1971,30-(674)281-6072,98927 Corry Avenue
L,3/10/1995,63-(513)355-9692,7648 Bunting Park
L,26/6/1921,353-(315)627-0936,85 Mayer Parkway
P,31/5/1941,31-(263)655-5745,28 Carpenter Terrace
L,5/9/1999,86-(483)367-8671,67560 Hoepker Road
P,21/7/1925,84-(991)297-3105,155 Cottonwood Point
P,10/10/1972,351-(932)923-9681,0 Center Pass
L,4/6/1931,86-(336)765-4079,22 Summer Ridge Hill
L,24/12/1975,852-(761)631-0590,3865 Dawn Lane
L,19/8/1968,63-(775)785-1422,69 Mcbride Crossing
L,20/10/1940,86-(795)682-3818,5815 Stephen Way
L,5/9/1921,55-(529)465-2254,3330 Straubel Crossing
P,23/7/1956,351-(861)406-0641,5478 Mallard Street
P,22/11/1954,976-(394)627-5503,37 Gateway Way
L,23/3/1955,66-(459)179-5707,6 Vernon Drive
L,1/4/1937,55-(756)708-9987,49 Briar Crest Parkway
P,21/8/1991,1-(419)351-4686,08 Northland Parkway
P,28/12/1973,86-(872)890-5843,50 Milwaukee Street
P,20/6/1996,63-(763)547-8977,70 Anniversary Street
P,15/9/1952,81-(155)808-2989,599 Helena Trail
P,21/3/1959,86-(363)498-4644,5264 Coolidge Junction
L,22/9/1922,63-(357)206-5282,569 Oakridge Place
L,28/6/1932,45-(416)198-6187,5056 Rigney Park
P,22/7/1962,359-(887)915-0859,99451 Arizona Parkway
P,13/9/1952,57-(605)826-0176,27557 Shopko Circle
L,26/6/1999,1-(765)772-9767,19 Del Sol Terrace
L,12/11/1969,386-(911)758-3595,36 Scofield Parkway
P,24/2/1940,62-(783)439-6818,7279 Old Shore Way
P,29/3/1947,234-(554)234-5840,3 Novick Point
L,11/11/1936,216-(201)596-5911,61 Manley Drive
L,2/12/1961,7-(917)360-7075,73 Hoffman Alley
P,10/1/1956,1-(513)292-5171,11 Mosinee Parkway
P,25/2/1948,992-(781)979-6918,4 Hazelcrest Avenue
L,14/2/2001,62-(431)801-5804,7 New Castle Road
L,17/6/1994,54-(723)907-5705,170 Jenna Plaza
L,16/7/1933,967-(270)617-0330,62355 Forest Run Trail
