pembeli,kode_produk,berat,kuantitas,harga,sub_total
paskem3o@yale.edu,S000091,85,20,776276,15525520
rstump59@thetimes.co.uk,S000048,15,18,216097,3889746
cmcwhin4g@gizmodo.com,S0000226,3,1,641224,641224
smeachen33@chronoengine.com,S000068,72,8,398594,3188752
lcolicot4d@behance.net,S0000180,42,45,321601,14472045
mhallagan3m@psu.edu,S0000189,54,7,207774,1454418
ldoram48@xrea.com,S0000199,97,23,954565,21954995
pshillington1m@usda.gov,S0000188,50,5,356797,1783985
abinnes6o@pcworld.com,S0000229,92,35,115579,4045265
boxtoby2f@zdnet.com,S0000166,18,38,14107,536066
lgreenig18@loc.gov,S0000184,2,32,486819,15578208
csaladine6a@businesswire.com,S0000249,75,11,564002,6204022
blemasney2w@yelp.com,S000092,75,23,417743,9608089
jalenshev3l@sciencedaily.com,S0000111,28,22,951890,20941580
cseamans2c@indiatimes.com,S0000250,55,17,250075,4251275
rreeson1y@cnet.com,S0000237,84,22,120288,2646336
lgreenig18@loc.gov,S000071,70,9,873411,7860699
lcolicot4d@behance.net,S0000225,3,29,414072,12008088
csiegertsz2j@columbia.edu,S0000183,72,27,987298,26657046
hlinklet1a@answers.com,S000052,15,26,372515,9685390
rosesnanes@nationalgeographic.com,S0000144,45,31,889488,27574128
gtaggett5t@over-blog.com,S000088,41,6,147818,886908
apacher3h@etsy.com,S0000181,40,35,972699,34044465
rmullin1q@google.co.uk,S0000126,27,28,103770,2905560
jwillard5r@51.la,S0000116,45,24,235595,5654280
rreeson1y@cnet.com,S0000218,22,9,351245,3161205
ktilbey2m@freewebs.com,S0000203,46,26,455310,11838060
astandell6g@washington.edu,S0000115,72,16,822132,13154112
lehrat55@spiegel.de,S000023,13,39,939925,36657075
rhouldey3d@latimes.com,S0000206,70,11,451428,4965708
jsedgeman20@sourceforge.net,S0000213,84,29,755031,21895899
mdraysay5z@weibo.com,S0000129,50,43,134157,5768751
kviles24@1688.com,S0000228,86,5,196732,983660
jjeffcoat5e@npr.org,S000020,21,40,93264,3730560
mquittonden51@acquirethisname.com,S0000162,36,45,26086,1173870
lgreenig18@loc.gov,S000059,65,50,192982,9649100
rmouland4l@psu.edu,S0000214,97,13,807698,10500074
hgisborne28@slashdot.org,S0000208,94,17,950615,16160455
fburkman2b@twitpic.com,S0000190,24,35,587172,20551020
boxtoby2f@zdnet.com,S0000142,95,50,413293,20664650
lbarbrookm@google.co.uk,S000072,70,9,548941,4940469
ldoram48@xrea.com,S000018,75,29,405937,11772173
jwillard5r@51.la,S0000187,53,47,317813,14937211
mpowney2s@over-blog.com,S0000206,37,21,451428,9479988
pshillington1m@usda.gov,S0000178,37,25,110984,2774600
ktilbey2m@freewebs.com,S0000167,6,28,521722,14608216
castlesa@paginegialle.it,S000099,6,24,306749,7361976
dhurne4@nydailynews.com,S0000222,93,23,615345,14152935
agrimestone5s@jimdo.com,S0000182,76,10,314030,3140300
awestphalen3s@desdev.cn,S000088,100,11,147818,1625998
