pembeli,kode_produk,berat,kuantitas,harga,sub_total
ebewfield1e@icio.us,S0000200,40,21,Rp309164000,Rp6492444000
paskem3o@yale.edu,S000062,86,20,Rp128092000,Rp2561840000
adwelly3u@pen.io,S0000103,44,77,Rp430402000,Rp33140954000
forudden6m@webeden.co.uk,S0000210,30,57,Rp384285000,Rp21904245000
lbarbrookm@google.co.uk,S0000175,59,19,Rp832795000,Rp15823105000
lbarbrookm@google.co.uk,S0000150,30,38,Rp930731000,Rp35367778000
mdraysay5z@weibo.com,S0000165,54,50,Rp625039000,Rp31251950000
bfalshaw2@about.me,S0000210,70,80,Rp384285000,Rp30742800000
lgreenig18@loc.gov,S000092,48,21,Rp218364000,Rp4585644000
lbarbrookm@google.co.uk,S00008,83,31,Rp937829000,Rp29072699000
yseago4v@geocities.com,S0000134,29,48,Rp375989000,Rp18047472000
lradnage30@canalblog.com,S0000230,63,66,Rp107236000,Rp7077576000
egiles42@sitemeter.com,S000034,38,19,Rp914759000,Rp17380421000
mdraysay5z@weibo.com,S0000196,42,49,Rp403061000,Rp19749989000
pshillington1m@usda.gov,S0000209,47,100,Rp783037000,Rp78303700000
mpowney2s@over-blog.com,S0000103,59,73,Rp430402000,Rp31419346000
carchambault67@cam.ac.uk,S0000222,59,99,Rp119580000,Rp11838420000
cchastenet44@jiathis.com,S0000135,41,10,Rp309334000,Rp3093340000
apacher3h@etsy.com,S0000169,77,77,Rp747758000,Rp57577366000
jjeffcoat5e@npr.org,S0000248,81,5,Rp882327000,Rp4411635000
rhouldey3d@latimes.com,S00009,66,44,Rp28159000,Rp1238996000
medgell65@arizona.edu,S0000220,39,34,Rp440093000,Rp14963162000
mtooley1s@storify.com,S0000202,42,93,Rp469756000,Rp43687308000
fboheao@baidu.com,S0000244,48,8,Rp602854000,Rp4822832000
pnursey4r@myspace.com,S0000230,87,87,Rp107236000,Rp9329532000
mvern3p@godaddy.com,S0000184,76,24,Rp587544000,Rp14101056000
hlodford3j@slate.com,S0000138,19,65,Rp360148000,Rp23409620000
mdraysay5z@weibo.com,S0000154,93,3,Rp851174000,Rp2553522000
mmcfadden5x@live.com,S0000111,20,8,Rp306765000,Rp2454120000
medgell65@arizona.edu,S000092,11,22,Rp218364000,Rp4804008000
ireadhead3k@is.gd,S000073,18,26,Rp209466000,Rp5446116000
rhallick2d@shutterfly.com,S000017,1,70,Rp897307000,Rp62811490000
pshillington1m@usda.gov,S0000104,19,42,Rp911773000,Rp38294466000
ggamesonx@webs.com,S0000112,19,82,Rp38332000,Rp3143224000
lcolicot4d@behance.net,S0000177,29,10,Rp71195000,Rp711950000
hduffieldy@bloglovin.com,S0000213,29,70,Rp556541000,Rp38957870000
adortonl@nytimes.com,S0000225,68,73,Rp298197000,Rp21768381000
mdraysay5z@weibo.com,S0000236,10,59,Rp841377000,Rp49641243000
dhurne4@nydailynews.com,S000045,63,78,Rp328519000,Rp25624482000
sokeenan23@csmonitor.com,S000098,97,83,Rp666515000,Rp55320745000
tadame4c@alexa.com,S0000236,68,79,Rp841377000,Rp66468783000
carchambault67@cam.ac.uk,S000042,18,63,Rp207650000,Rp13081950000
adwelly3u@pen.io,S0000206,66,74,Rp792793000,Rp58666682000
sokeenan23@csmonitor.com,S000098,54,11,Rp666515000,Rp7331665000
ldoram48@xrea.com,S000026,87,62,Rp887889000,Rp55049118000
fboheao@baidu.com,S0000137,72,38,Rp741162000,Rp28164156000
kde3g@ebay.co.uk,S00001,35,33,Rp976718000,Rp32231694000
mpowney2s@over-blog.com,S0000145,97,91,Rp801919000,Rp72974629000
bstukings1o@elpais.com,S000077,61,34,Rp121965000,Rp4146810000
claraway1l@parallels.com,S000098,25,100,Rp666515000,Rp66651500000
